"","x"
"100","australia where a major telecommunications company is controlled by vatican decrees …"
"101","broadband users locked out of hundreds of websites"
"102","unlikely story from time for some back peddling"
"103","we support but we arent going to tell anyone we do 
so to keep the airways clear for bigots"
"104","the tax free church bullying"
"105","we re live in 
tune into w here"
"106","i d say the bigger pr issue for that it maintains significant commercial ties with a body that covered up the sexua…"
"107","catholic church forces to backflip on a pro lgbt advert what the fuck this must be a joke"
"108","with amp supporting i wonder where the were planning to take their business"
"109","it is alleged andrew let s not come to conclusions shall we"
"110","the church s weakening grip over and taxes"
"111","out of respect for opinions we disagree with we will remain silent and let them speak instead 
 

 money
 or whatever"
"112","i predict will end up giving give free data to samesex marriage supporters this sunday"
"113","telecom giant withdraws support for gay marriage after boycott threat from church"
"114","a sorry tale of dealing with ’s ‘customer"
"115","we are committed to diversity and equality but only if it benefits our hip pockets otherwise fuck that"
"116","the catholic church 
pinnacle of morality 
covered up child abuse
tells they can t support marriage equality"
"117","s next regressive policy those found in arrears will now be stoned"
"118","who is advising these people did tony abbott and turnbull start a marketing agency and sell their services to"
"119","fix my services"
"120","standing by silently consent to what you fail to oppose would you tolerate apartheid too"
"121","folds like cheap suit"
"122","absolutely weak response doesn t want to be a leader like disney salesforce paypal"
"123","tone deaf platitudes accepting all views especially intolerant ones isn t diversity terrible response"
"124","so it s fine for s coverage to be out but not anyone wanting to get married"
"125","choose to abide by sharia law sponsored by catholic church if you can t beat em you join em they said
 …"
"126","hey how about dropping the catholic church for their inaction on child abuse"
"127","a relevant point"
"128","nope not going to buy into that crap 

as i said last night did the deal with the devil over this"
"129","ceo we support it just staying out of it 

bruce springsteen screw the money i have principles 

note the difference"
"130","so rick norton tell me again why is racism different from homophobia"
"131","is it super bizarre to anyone else that have been silent on sm about acrobatics"
"132","done right thing and pulled out of gay marriage campaign not your turf stick to giving customers free data ev…"
"133","down again u curse of elop"
"134","there s more important news than"
"135","apparently archbishops think they have the authority to summon a person on a whim bizarre https …"
"136","will you be switching providers"
"137","are you going to slog me with charges for moving to a more inclusive and equitable broadband provider"
"138","not that i ve seen think people just using"
"139","apparently archbishops think they have the authority to summon a person on a whim bizarre"
"140","caves in to the catholic church on same sex marriage"
"141","did it"
"142","social media users slam following accusations the telco withdrew support from https t…"
"143","today s"
"144","excuse me gays is there a hashtag for this backflip"
"145","i finally have it brainwashing"
"146","origin energy sydney airport amp tatts results wrap"
"147","careful who you get into bed with"
"148","cash in transit security service australia wide thanks champ"
"149","this is me normal at work to the right is who for weeks have still not fixed our internet ed u a u bd ed u b u a ed u a u bd ed u b u"
"150","the network without equality da du da du da du du"
"151","australian telecom stood up for traditional marriage and is getting pounded by the take a minute to thank them"
"152","i support and boycott"
"153","sack george pell release files held at vatican crimes against australian children https…"
"154","backs out supporting marriage pressure from flipboard"
"155","hoping that today is the day that we get internet connected after months ed u a u bd ed u b u a"
"156","’s ‘out of touch’ advice"
"157","what if all providers supported ending discrimination towards lgbti people that would strip the churches of their leverage …"
"158","very telling bad move"
"159","i disagree when ppl say all corporates pinkwash but is a prime example of pinkwashing"
"160","bizarre thing is all the major ones in aus do could have called their bluff"
"161","learns hard lessons after withdrawing from marriage debate"
"162","will be left with one customer catholic archdiocese of sydney the others are cheaper anyway"
"163","research shows businesses are punished severely for doing the wrong thing says listen"
"164","how the hell did get the contract for the pope s hotline to god in the first place"
"165","what if all providers supported ending discrimination towards lgbti people that would strip the churches of their leverage"
"166","well it s really cool have thrown in their lot with the largest enabler of pedophiles worldwide the catholic c…"
"167","wisely has stepped back from paying ransom to on"
"168","i have to wonder why i stay or should i change to pm yesterday to am today and no internet"
"169","hi renee why has bowed to homophobic pressure from the to withdraw support for"
"170","supporting tax exempt organisations that have protected child molesters for decades it s how connects"
"171","lesson of the experience establish your brand values stick to them"
"172","it took multiple network meltdowns for my phone to have better reception inside my house"
"173","hateful removes support for marriage due to pressure from https …"
"174","for with"
"175","shame on you for allowing religious bigots to sway you"
"176","hit by customer backlash over marriage equality position telstra custom"
"177","amazin etc even listen catholic church in aust
theyr not large in numbers
theyr hiders of child rapists amp lecture us"
"178","sorry but i do not support companies who support bigoted views or support ant vine by"
"179","it s about time that loudly stated that they will not stand by and have their hard earned dollars be used ag…"
"180","community uses pressure tactics to influence organisations seen as advocacy do the same seen as …"
"181","the have just announced a spring offensive yet twitter is alarmed by acknowledging its cu…"
"182","pathetic your loss more ppl at mardi gras than filling churches lily livered sops to profit i ll remember this"
"183","jumping to the tune of catholic church against the lgbt community"
"184","if only threatening to pull contracts from was the worst thing the catholic church has ever done sadly not"
"185","shame for caving to catholic church amp withdrawing support for …"
"186","ok no more for me u a u fe f telstra caves to pressure from catholic church pulls marriage equality support"
"187","the next step is to ban women anyone taking contraceptives divorcees and those who have had an abortion …"
"188","telstra mobile prepaid discussion part"
"189","will have mbps g in australia this year"
"190","social media users angry as ’s free data day"
"191","disgusting effort by amp proving once again that the almighty always trumps ethics and integrity"
"192","not actively supporting same sex marriage is part of their latest push to reduce instances of being engaged …"
"193","everything will be ok if the gays can wed we in ireland have been there done that amp we are way more catholic than you l…"
"194","everything will be ok if the gays can wed we in ireland have been there done that amp we are way more catholic than you ll ever be"
"195","encore is next tonight amp talk amp"
"196","not actively supporting same sex marriage is part of their latest push to reduce instances of being engaged"
"197","typical church living in the dark ages as if millennials actually make phone calls anymore ed u a u bd ed u b u bye felicia"
"198","the next step is to ban women anyone taking contraceptives divorcees and those who have had an abortion"
"199","will still provide customer support to married gays"
"200","shits me that the catholic church has a say in anything you suck"
"201","defeated by the all mighty catholic church like they have a great business record pay no tax and ignore child a use"
"202","pathetic"
"203","i am disgusted the catholic church wrote to threatening to boycott their services 
appalled caved in"
"204","thank you and for the the end tickets"
"205","another depressing day to be gay in australia"
"206","blackmail all power corrupts absolute power corrupts absolutely"
"207","thanks for nothing absolutely appalled"
"208","also it s not anti lgbt to support all sides in the debate just as has done"
"209","sack george pell release files held at vatican crimes against australian children"
"210","would you rather be boycotted by a niche band of bigots or the significantly larger public who now see you as cowa…"
"211","if only catholic church focused their time on stopping child abuse instead of bullying corporations like over"
"212","as a public body has decided its role is not to express views on our private lives besides the church already ha…"
"213","take economic leverage somewhere that respects all dese…"
"214","take economic leverage somewhere that respects all deserve better"
"215","back to copper wire with no nbn or fast internet now no equality"
"216","removed its support for same sex marriage allegedly due to pressure from the catholic church"
"217","all companies should follow example in declining to bow to demands for to promote amp fund"
"218","i wonder the data count for the exodus from due to this eh"
"219","businesses should be refusing to deal with the catholic church not the other way around"
"220","as a valued customer this decision has left me feeling devalued"
"221","or encourage the other telcos to show some solidarity"
"222","gay how marketers brands target the market"
"223","you have caved in to bullies"
"224","i m interested to know too in the same situation time to ditch and their unreliable network"
"225","prosecute cardinal george pell for all the cover ups in australia"
"226","pulled its support for marriage equality pull your contracts"
"227","george pell phone home there s a telstra technician cutting the videolink to rome"
"228","i see can be intimidated by the church 

not impressed 

 for all please"
"229","ohhhhhhh yeeeeeeeeeeeeeeees jim wallace let me rim you my tongue will give your anus a heavenly experience"
"230","ohhhhhhhhhhh yeeeeeeeeeeeeeeeeeeees jim wallace my mouth is so hungry for your magnificent penis feed it"
"231","would you pay a month to experience this"
"232","ohhhhhhhhh yeeeeeeeeeeeeeeeeees jim wallace make my bobs jiggle around whilst i ride your magnificent penis"
"233","mbit fiber and i cant even watch a fucking youtube video without buffering great internet you have there rolls eyes"
"234","the struggle is real coming up w something but i imagine it has to do with santorum"
"235","what do we call when a corporation stops pinkwashing to appease christians beigewashing"
"236","shame that has hung up on supporting same sex marriage in australia"
"237","with coverage as reliable as its support for equality will never be there when the going gets tough"
"238","u u u u withdraws from debate allegedly due to church pressure"
"239","the is an obscenity against all that is decent"
"240","that s gr but all i get is a recoded message saying they are closed i m a biz owner amp need internet to earn"
"241","backflip tomorrow can t wait"
"242","it’s time for 
this tweet was brought to you by wifi"
"243","what s the go in glen iris vic re foxtel amp broadband neither working amp no answer on when we ll b connected"
"244","catholic church archdiocese of sydney look up under"
"245","well it s really cool have thrown in their lot with the largest enabler of pedophiles worldwide the catholic church"
"246","backs off from hooray telstra s job is not to be a tool of crazy homosexual politics"
"247","s next move will be to"
"248","telstra really not having a good time of late glad i m not with them"
"249","opts out of s hooray—reasonable consumers amp investors will applaud"
"250","if wants to avoid a boycott back flipping on probably isn t how to do it"
"251","look the catholic church strong arms weak orgs like about equality but can t fix its own pedophile problem https …"
"252","cut amp pasted from the usual rule book have another read of the tweets"
"253","cloudflare s analysis on bandwidth costs in australia doesn t paint a great picture of"
"254","is right decent people might well boycott companies backing mad aims of like pervert"
"255","how can you help me my gay friends amp allies move our accounts from after its debacle today"
"256","backtracks on good companies should avoid or be boycotted if they back"
"257","this is why i m inclined to think that"
"258","hello hello catholic church powerbrokers of sydney … i think you may have a bad line wendy tuohy"
"259","i will be contacting the archdiocese of sydney to explain my sudden interest in organising to remove their tax free statu…"
"260","first bridges then badger businesses into withdrawing support for equality apparently"
"261","an absolute disgrace"
"262","go back to being a telco and get that right"
"263","totally disappointed in for not standing up to the australia would have stood behind you"
"264","thank a brand that supports just tag amp the brand not u thanks u u fe f https…"
"265","and i have no plans on recontracting my service"
"266","thanks for the incentive for me to find another provider"
"267","hey dig up stupid"
"268","can t do graphics on my mobile but you get the gist l u d l"
"269","just trying to take the emphasis off their lousy service"
"270","why investors should not support telstra amp s global expansion"
"271","happy to be an optus customer for the first time in about years lol"
"272","ed u a u bd ed u b u braddon telstra building evacuated after gas smell detected"
"273","manalto ltd signs distribution deal with telstra"
"274","withdraws support for in australia"
"275","in the southern us companies are pulling out because of anti equality leg in oz is pulling out of equality"
"276","so disappointed shame on u"
"277","lol why does need opinions on things it s not like maccas is against same sex marriage telstra just didn t need to comment"
"278","this was the platform to support fundamental rights"
"279","what a disgraceful company is this is and not the s"
"280","free movies amp tv shows"
"281","so has aligned itself with child sex abusers amp rapists charming ed u a u bd ed u b u e"
"282","who within the corporation thought hey you know what s good for business discrimination …"
"283","left awful ages ago but i m jealous of those who get to withdraw support from them now"
"284","telstra withdraws from…"
"285","i m assuming the community will be getting free data on sunday"
"286","sorry but i do not support companies who support bigoted views or support anti"
"287","australia where a major telecommunications company is controlled by vatican decrees"
"288","hey after years i just switched to if ur going to be silent about my equal rights you don t get…"
"289","telstra s epic fail
not the fear of god but the
fear of catholics

ian row"
"290","a very bad business decision and one that could see supporters of boycot your services https …"
"291","who even uses telstra anymore"
"292","o kosmos greek newspaper features my images from last weekend"
"293","ed u a u bd ed u b u a manalto ltd signs distribution deal with telstra"
"294","ed u a u bd ed u b u b telstra appoints ex amp boss craig dunn as director"
"295","ed u a u bd ed u b u why investors should not support telstra amp s global expansion"
"296","wow after years of loyal service you have finally given me a reason to look elsewhere for all my services"
"297","hey gang are u guys doing a story on and their withdrawal on marriage tonight been waiting all day haha"
"298","next data free day customers should bulk download brokeback mountain in protest of their spineless telco"
"299","is"
"300","has withdrawn its support to after being blackmailed by and the catholic church"
"301","thank a brand that supports just tag amp the brand not u thanks u u fe f"
"302","telstra gives in to roman catholic church blackmail over but is better"
"303","dear if you want to avoid controversial issues consider cutting your commercial ties w an institution that covers up child rape ed u a u bd ed u b u"
"304","i m having a to thank all brands that support bad luck none for you"
"305","what if the alp wins the next election or lnp cancel the plebiscite you still going to abandon your support for equality"
"306","not sure of the relationship between the church amp cath ed though if church doesn t own the schools though …"
"307","not happy jan"
"308","shame on you for bowing to the catholic church"
"309","not sure of the relationship between the church amp cath ed though if church doesn t own the schools though equality"
"310","bends over for the church the same church that hides pedophiles"
"311","new telstra bonds benefit from ecb buying programme"
"312","wow disappoints multiple times with its service and now with its morals around"
"313","it s about time the govt funded bigots in the catholic church stayed paying taxes if they want to state dictating public policy"
"314","thinks support for gay marriage is ideology f k you the only ideology is coming from hateful christians htt…"
"315","hey after years i just switched to if ur going to be silent about my equal rights you don t get my pink"
"316","i know everyone s crapping on rn but this really does look like a threatened secondary boycott to me"
"317","after s removal of gay marriage support amp could set up a webpage to help switch customers over to them"
"318","hell hath no fury like a customer not under contract"
"319","shame on you your marriage equality support is as unreliable as your shit services"
"320","tech leaders in australia vs tech leaders in america on"
"321","it s"
"322","congratulations great decision"
"323","strange stance on for a tax payer funded and tax exempt corporation maybe we need to change that"
"324","cancel it on that basis will have no choice which telco did you port from problem is alternative coverage crappy"
"325","so disappointed with your change in position super low move"
"326","mmmm point to note catholicism isn t a religion it s a denomination of the christian faith"
"327","take economic leverage somewhere that respects all telco consumers do not need to tolerate corporate hate"
"328","absolutely i wish i had never moved to a few weeks ago now have contract but won t renew"
"329","wondering if you have a remark about as they re a member org how can we support internal staff"
"330","choose to abide by sharia law sponsored by catholic church if you can t beat em you join em they said"
"331","social media users slam following accusations the telco withdrew support from"
"332","great deals are going at the moment with ed u a u bd ed u b u d ed u a u bd ed u b u d ed u a u bd ed u b u d"
"333","ceo tells staff its stance will be disappointing to some people"
"334","my god would have thrown out of the temple by now"
"335","telstra biggest cop out eva"
"336","nothing surprises me anymore with what the will do to get their point across"
"337","abide by sharia law 
the new australia sponsored by the catholic church you can t beat em you join em"
"338","no bull i recently upgraded from local isp adam internet to the adsl signal so bad i have to turn of mobile to surf net laptop"
"339","why don t you tell the australian the catholic church that better still tell them to go procreate with themselves"
"340","hey your backdown re nicely reminded me that i m out of contract hello can i switc…"
"341","nobody is refusing to recognise catholic marriage that i am aware so not sure your point"
"342","hey your backdown re nicely reminded me that i m out of contract hello can i switch tomorrow"
"343","poke poke are you listening"
"344","marriage equality is a human rights issue not another marketing gimmick to support intermittently don t be bullied …"
"345","i will be contacting the archdiocese of sydney to explain my sudden interest in organising to remove their tax free status"
"346","i d actually say a complete brand and policy fail but internal comms definitely failed too"
"347","shame on i am disgusted to be contracted with you right now"
"348","that would be nice my cancellation fee is on a bring your own sim plan"
"349","why does this come up when attempting but i can this"
"350","opponents to ssm claim there is a strategic political amp well funded campaign to change the marriage act pretending they…"
"351","bad things happen when good people do nothing"
"352","might be time to adjust your webpage you gutless pricks"
"353","true which is why should acknowledge all definitions of marriage and not one against all others that is"
"354","has gone crazy again browser showed me ur credit expired or sim not activated which was fixed after going to flight mode amp back"
"355","i see the church can t find any way other than threats amp blackmail to force companies to back down on supporting equal marriage"
"356","they are so bad at pr i would not be surprised if they did"
"357","linked to earlier pressure from"
"358","thinks support for gay marriage is ideology f k you the only ideology is coming from hateful christians"
"359","i m not with but if i was i wouldn t be"
"360","i ll be exercising my consumer choice and boycotting"
"361","its time us atheists got together amp demanded a boycott of any company that gives in to religious lobby groups"
"362","telstra not supporting gay marriage is just pathetic bye bye ed u a u bd ed u b u ed u a u bc ed u bf u bc"
"363","so were csr box ticking amp chasing the pink if they d supported pedos the cathchurch mightn t have objected"
"364","isn t it funny how the account services page is always on the blink but the part where you give them money is always available"
"365","you re a fuckwit of a ceo resign now ht…"
"366","won t sell me a male to male wall socket"
"367","for a moderate decision is attacked by rabid gays and their loutish supporters typical"
"368","doesn t want this gay money so i don t have to pay my bills right"
"369","transcript of service earlier today 
 in the name of the father the son and amen"
"370","since i m gay and telstra doesn t like gays can i get out of my contract early"
"371","owes the australia lgbt community a with an honest apology and a walk back on its decision"
"372","i m going to have a lot of gay phone calls and gay internet time until my contract runs out and i can change carrier"
"373","in times of crisis brief your cm s amp teams properly"
"374","you would think would be proud to fight for the rights of their workers and customers"
"375","what a shame giving in lgbt hate emanating from christian terrorists is shameful u lost me an lgbt customer"
"376","imagine the salesforce account mentions in hyper drive today they ve turned on us let s give another free da…"
"377","ed u a u bd ed u b u catholic church forces telstra into same sex marriage ad flip"
"378","ed u a u bd ed u b u bf accc gets its wires crossed over telstra amp s involvement with the"
"379","ed u a u bd ed u b u b why investors should not support telstra amp s global expansion"
"380","braddon telstra building evacuated after gas smell detected"
"381","be like"
"382","ohhhhhhhhhh yeeeeeeeeeeeeeeeeeees jim wallace finger fuck me til my pussy squirts in orgasmic pleasure"
"383","the archdiocese of sydney has released a statement on the controversy"
"384","in the abuse of their customers and the catholic church are kindred spirits"
"385","would you rather be boycotted by a niche band of bigots or the significantly larger public who now see you as cowards you choose"
"386","marriage equality is a human rights issue not another marketing gimmick to support intermittently don t be bullied take a stand"
"387","ohhhhhhhhhhhh yeeeeeeeeeeeeeeeeeeees jim wallace make my hot pussy moist with your tongue"
"388","ohhhhhhhhhhhh yeeeeeeeeeeeeeeeeeeees jim wallace moisturise my face moisturise my face with your hot sperm"
"389","it s a sad day to be gay apparently corporate greed is more important than equality and our happiness gutted thanks …"
"390","ohhhhhhhhhhh yeeeeeeeeeeeeeeeeeeees jim wallace piss on my boobs let my tits feel the warmth of your urine"
"391","has it been a great few weeks for blackouts and backouts"
"392","so apparently the only thing that s ok to be out is telstra s mobile coverage"
"393","how many catholics does it take to screw up a companies pr"
"394","so supports less than it supports an organisation that hides by its clergy how is tha…"
"395","can take their homophobic views and shove them up the catholic church s where the sun don t shine"
"396","the institution that protects known paedophiles has no place in moralising or setting the public agenda"
"397","a case study in how not to manage a comms crisis at"
"398","it s a sad day to be gay apparently corporate greed is more important than equality and our happiness gutted thanks u c ed u a u bc ed u bf u bc u fe f"
"399","improve your service in this day amp age we can live without water not internet same day service turns into days in hrs"
"400","you are officially famous richy"
"401","interestingly if the catholic church was to leave telstra it’s not clear where they would go"
"402","how many catholics does it take to save a corporation from bankruptcy"
"403","the only thing coming out of s closet is it s service"
"404","is soooo gay"
"405","backlash over same sex marriage 
 has sparked a backlash on s"
"406","ceo understands its move away from explicit support may be “disappointing” 
how is this not change"
"407","ed u a u bd ed u b u ae accc gets its wires crossed over telstra amp s involvement with the"
"408","shame on you telstra shame on you this is grow up"
"409","removed its support for same sex marriage allegedly due to church pressure"
"410","where the only gay sex tolerated will be between the catholic church amp its victims"
"411","you re a fuckwit of a ceo resign now"
"412","as if we needed another reason to be disappointed in"
"413","tfw your pr game is weak as fuck like your backbone"
"414","what is happening with the outage in carnegie how long before it s working"
"415","things that are out dated telstra s stance on marriage the nbn and my fashion sense"
"416","by withdrawing support you are automatically siding with anti marriage equality"
"417","it s not the role of companies to drive public debate says have you told the miners and the banks"
"418","hey do you support i m kinda happy i chose the better provider"
"419","from same letterto others who support from same man church lashes same sex backers"
"420","has the catholic church sent the same threatening letter to banks to stop them lending to gays yet"
"421","digs deeper into its hole in same sex ad flip"
"422","i ve done a flip on paying my bill this month as i don t agree with their latest decision"
"423","releases statement confirming no support for same sex marriage out of respect"
"424","bringing up more advocates"
"425","yo 
you ve lost a life long customer due to your failure to stick up for what s right and what s needed"
"426","no further plans to be active in the debate support is support especially if it was official before"
"427","got a new slogan for it s how we screw you"
"428","thankfully i m not with so i don t have to leave them for allowing the catholic church to bully and control them"
"429","so which telco supports 
i ll be going with that one 
 you gobshites"
"430","so we can have same sex relationships but not marriage"
"431","hey how much was the catholic account worth would be interesting to know how much a stance against prejudice costs"
"432","thanks for another reason to cut ties with you"
"433","and marriage equality when the bandwagon loses a wheel"
"434","man is backwards as fuck"
"435","flippy floppy"
"436","straight people who use phone amp internet want too"
"437","will offer cheaper rates to the catholic church amp paedophiles nationwide now cos they ve sure lost a load of customers today"
"438","can imagine the bundle package the catholic church got dat free month of foxtel tho"
"439","how long before they pressure the banks not to loan to gay people"
"440","australia’s billion contract raises competition concerns"
"441","the f ck"
"442","of course you know this means war"
"443","has abandoned its lgbti employees on the issue of goodbye you are gutless homophobes"
"444","fortunately appalling service had already turned me off them their homophobia just affirms it was the right choice"
"445","dumb you ll regret your decision to p off the whole gay community hopefully a majority of your customers will g…"
"446","shame on and the catholic bullys all of my familys telstra accounts will be cancelled this week im disgusted…"
"447","isn t getting any business with me after this stunt with the catholics 

i won t support a business that supports a…"
"448","will amp not retreat your public support for 
show they should do it"
"449","all i m getting in my feeds is and it s not pretty"
"450","apologies if anyone was offended by that last tweet i m pissed off at the moment along with many other people over"
"451","catholic church blackmails telstra to ditch support for marriage equality"
"452","retreating on support harms amp empowers"
"453","so supports less than it supports an organisation that hides by its clergy how is that right"
"454","mr digges undoubtedly many of the catholic population of sydney would be horrified by mr digges bullying tactics"
"455","defeated by love but i ll crush you with words and watch your corpse dissipate into the winds of nothingness"
"456","clinging onto what power you have is slowly being pried off your pseudo reality is dying you ll ultimately be"
"457","religion is a neurological disorder society s accepted mental illness your anorexic claw that s desperately"
"458","your choices and actions reflect the kind of rotting soul that decays within your husk"
"459","fail for caving into those bigoted cunts with their persecution complex the catholic church how christ like"
"460","hateful removes support for marriage due to pressure from"
"461","i cant believe that telstra took catholic hierarchy seriously most catholics think they are re…"
"462","isn t getting any business with me after this stunt with the catholics 

i won t support a business that supports anti"
"463","lol no no my point was how could know s a r c a s m good confession from being a saint remember"
"464","shame on and the catholic bullys all of my familys telstra accounts will be cancelled this week im disgusted"
"465","u have elevated yourself decide who is a true catholic it s your sort of jesus hates"
"466","lmaoooooo oh the burn ed u a u bd ed u b u a ed u a u bd ed u b u a ed u a u bd ed u b u a"
"467","wish would fix feckin broadband that quickly toady"
"468","telstra signs b deal to move hfc users to nbn"
"469","if you are neutral in situations of injustice you have chosen the side of the oppressor"
"470","i cant believe that telstra took catholic hierarchy seriously most catholics think they are reactionary jokes"
"471","poor form we re supposed to stand up to bullies and not to cave to peer pressure"
"472","child rapists direct the course of business over my never connected body"
"473","are reporting outages of integrity all across their network"
"474","wonder if the flys their ceo is gay"
"475","imagine the salesforce account mentions in hyper drive today they ve turned on us let s give another free data day ok"
"476","was never a good agenda for to be on should have just shut up amp be neutral promo dept failure"
"477","dumb you ll regret your decision to p off the whole gay community hopefully a majority of your customers will give you the flick"
"478","we re against discrimination but we re not going to say so because the catholics might hurt our profits not the best slogan"
"479","gives in to the catholic church s bullying on after it threatened to dump the telco"
"480","shit has forgotten how many gays work for them the catholic church must be really cupping their balls"
"481","telstra withdraws support for same sex marriage pressure from catholic church"
"482","i am a catholic how does this action acknowledge me as a customer"
"483","excellent"
"484","very bad business decision is right is on the wrong side of history here"
"485","when is just out of reach"
"486","feeling sorry for the social team at pretty hard to make a comeback after pissing off the entire gay communit…"
"487","dear telstra please sort your shit out as well as your shit internet thanks"
"488","this marriage equality backdown thing seems like it could be a bit of a beat up thoughts"
"489","kicking own goals as if it were the captain of the under s back in well in"
"490","telstra withdraws from marriage equality debate…"
"491","a very bad business decision and one that could see supporters of boycot your services"
"492","proudly say my phone service is with virgin"
"493","this whole ordeal reminds me of one thing how fucking ruthless and evil the catholic church can be"
