"","score","text"
"124",1,"so it s fine for s coverage to be out but not anyone wanting to get married"
"125",0,"choose to abide by sharia law sponsored by catholic church if you can t beat em you join em they said
 …"
"126",-2,"hey how about dropping the catholic church for their inaction on child abuse"
"127",0,"a relevant point"
"128",-2,"nope not going to buy into that crap 

as i said last night did the deal with the devil over this"
"129",1,"ceo we support it just staying out of it 

bruce springsteen screw the money i have principles 

note the difference"
"130",-1,"so rick norton tell me again why is racism different from homophobia"
"131",1,"is it super bizarre to anyone else that have been silent on sm about acrobatics"
"132",2,"done right thing and pulled out of gay marriage campaign not your turf stick to giving customers free data ev…"
"133",-1,"down again u curse of elop"
"134",1,"there s more important news than"
"135",-1,"apparently archbishops think they have the authority to summon a person on a whim bizarre https …"
"136",0,"will you be switching providers"
"137",0,"are you going to slog me with charges for moving to a more inclusive and equitable broadband provider"
"138",0,"not that i ve seen think people just using"
"139",-1,"apparently archbishops think they have the authority to summon a person on a whim bizarre"
"140",0,"caves in to the catholic church on same sex marriage"
"141",0,"did it"
"142",0,"social media users slam following accusations the telco withdrew support from https t…"
"143",0,"today s"
"144",-1,"excuse me gays is there a hashtag for this backflip"
"145",0,"i finally have it brainwashing"
"146",0,"origin energy sydney airport amp tatts results wrap"
"147",0,"careful who you get into bed with"
"148",1,"cash in transit security service australia wide thanks champ"
"149",2,"this is me normal at work to the right is who for weeks have still not fixed our internet ed u a u bd ed u b u a ed u a u bd ed u b u"
"150",0,"the network without equality da du da du da du du"
"151",1,"australian telecom stood up for traditional marriage and is getting pounded by the take a minute to thank them"
"152",0,"i support and boycott"
"153",-1,"sack george pell release files held at vatican crimes against australian children https…"
"154",1,"backs out supporting marriage pressure from flipboard"
"155",0,"hoping that today is the day that we get internet connected after months ed u a u bd ed u b u a"
"156",0,"’s ‘out of touch’ advice"
"157",1,"what if all providers supported ending discrimination towards lgbti people that would strip the churches of their leverage …"
"158",-1,"very telling bad move"
"159",-1,"i disagree when ppl say all corporates pinkwash but is a prime example of pinkwashing"
"160",-1,"bizarre thing is all the major ones in aus do could have called their bluff"
"161",-1,"learns hard lessons after withdrawing from marriage debate"
"162",1,"will be left with one customer catholic archdiocese of sydney the others are cheaper anyway"
"163",-1,"research shows businesses are punished severely for doing the wrong thing says listen"
"164",-1,"how the hell did get the contract for the pope s hotline to god in the first place"
"165",1,"what if all providers supported ending discrimination towards lgbti people that would strip the churches of their leverage"
"166",2,"well it s really cool have thrown in their lot with the largest enabler of pedophiles worldwide the catholic c…"
"167",1,"wisely has stepped back from paying ransom to on"
"168",1,"i have to wonder why i stay or should i change to pm yesterday to am today and no internet"
"169",1,"hi renee why has bowed to homophobic pressure from the to withdraw support for"
"170",1,"supporting tax exempt organisations that have protected child molesters for decades it s how connects"
"171",0,"lesson of the experience establish your brand values stick to them"
"172",1,"it took multiple network meltdowns for my phone to have better reception inside my house"
"173",0,"hateful removes support for marriage due to pressure from https …"
"174",0,"for with"
"175",-1,"shame on you for allowing religious bigots to sway you"
"176",0,"hit by customer backlash over marriage equality position telstra custom"
"177",0,"amazin etc even listen catholic church in aust
theyr not large in numbers
theyr hiders of child rapists amp lecture us"
"178",2,"sorry but i do not support companies who support bigoted views or support ant vine by"
"179",-1,"it s about time that loudly stated that they will not stand by and have their hard earned dollars be used ag…"
"180",0,"community uses pressure tactics to influence organisations seen as advocacy do the same seen as …"
"181",-2,"the have just announced a spring offensive yet twitter is alarmed by acknowledging its cu…"
"182",-2,"pathetic your loss more ppl at mardi gras than filling churches lily livered sops to profit i ll remember this"
"183",0,"jumping to the tune of catholic church against the lgbt community"
"184",-3,"if only threatening to pull contracts from was the worst thing the catholic church has ever done sadly not"
"185",0,"shame for caving to catholic church amp withdrawing support for …"
"186",1,"ok no more for me u a u fe f telstra caves to pressure from catholic church pulls marriage equality support"
"187",0,"the next step is to ban women anyone taking contraceptives divorcees and those who have had an abortion …"
"188",0,"telstra mobile prepaid discussion part"
"189",0,"will have mbps g in australia this year"
"190",0,"social media users angry as ’s free data day"
"191",0,"disgusting effort by amp proving once again that the almighty always trumps ethics and integrity"
"192",1,"not actively supporting same sex marriage is part of their latest push to reduce instances of being engaged …"
"193",0,"everything will be ok if the gays can wed we in ireland have been there done that amp we are way more catholic than you l…"
"194",0,"everything will be ok if the gays can wed we in ireland have been there done that amp we are way more catholic than you ll ever be"
"195",0,"encore is next tonight amp talk amp"
"196",1,"not actively supporting same sex marriage is part of their latest push to reduce instances of being engaged"
"197",-1,"typical church living in the dark ages as if millennials actually make phone calls anymore ed u a u bd ed u b u bye felicia"
"198",0,"the next step is to ban women anyone taking contraceptives divorcees and those who have had an abortion"
"199",1,"will still provide customer support to married gays"
"200",-1,"shits me that the catholic church has a say in anything you suck"
"201",3,"defeated by the all mighty catholic church like they have a great business record pay no tax and ignore child a use"
"202",-1,"pathetic"
"203",-4,"i am disgusted the catholic church wrote to threatening to boycott their services 
appalled caved in"
"204",1,"thank you and for the the end tickets"
"205",-1,"another depressing day to be gay in australia"
"206",-3,"blackmail all power corrupts absolute power corrupts absolutely"
"207",-1,"thanks for nothing absolutely appalled"
"208",1,"also it s not anti lgbt to support all sides in the debate just as has done"
"209",-1,"sack george pell release files held at vatican crimes against australian children"
"210",0,"would you rather be boycotted by a niche band of bigots or the significantly larger public who now see you as cowa…"
"211",-1,"if only catholic church focused their time on stopping child abuse instead of bullying corporations like over"
"212",0,"as a public body has decided its role is not to express views on our private lives besides the church already ha…"
"213",1,"take economic leverage somewhere that respects all dese…"
"214",2,"take economic leverage somewhere that respects all deserve better"
"215",1,"back to copper wire with no nbn or fast internet now no equality"
"216",1,"removed its support for same sex marriage allegedly due to pressure from the catholic church"
"217",-1,"all companies should follow example in declining to bow to demands for to promote amp fund"
"218",1,"i wonder the data count for the exodus from due to this eh"
"219",-1,"businesses should be refusing to deal with the catholic church not the other way around"
"220",0,"as a valued customer this decision has left me feeling devalued"
"221",2,"or encourage the other telcos to show some solidarity"
"222",0,"gay how marketers brands target the market"
"223",-1,"you have caved in to bullies"
"224",-1,"i m interested to know too in the same situation time to ditch and their unreliable network"
"225",-1,"prosecute cardinal george pell for all the cover ups in australia"
"226",1,"pulled its support for marriage equality pull your contracts"
"227",0,"george pell phone home there s a telstra technician cutting the videolink to rome"
"228",1,"i see can be intimidated by the church 

not impressed 

 for all please"
"229",1,"ohhhhhhh yeeeeeeeeeeeeeeees jim wallace let me rim you my tongue will give your anus a heavenly experience"
"230",1,"ohhhhhhhhhhh yeeeeeeeeeeeeeeeeeeees jim wallace my mouth is so hungry for your magnificent penis feed it"
"231",0,"would you pay a month to experience this"
"232",1,"ohhhhhhhhh yeeeeeeeeeeeeeeeeees jim wallace make my bobs jiggle around whilst i ride your magnificent penis"
"233",0,"mbit fiber and i cant even watch a fucking youtube video without buffering great internet you have there rolls eyes"
"234",-1,"the struggle is real coming up w something but i imagine it has to do with santorum"
"235",0,"what do we call when a corporation stops pinkwashing to appease christians beigewashing"
"236",-1,"shame that has hung up on supporting same sex marriage in australia"
"237",3,"with coverage as reliable as its support for equality will never be there when the going gets tough"
"238",0,"u u u u withdraws from debate allegedly due to church pressure"
"239",0,"the is an obscenity against all that is decent"
"240",0,"that s gr but all i get is a recoded message saying they are closed i m a biz owner amp need internet to earn"
"241",-1,"backflip tomorrow can t wait"
"242",0,"it’s time for 
this tweet was brought to you by wifi"
"243",0,"what s the go in glen iris vic re foxtel amp broadband neither working amp no answer on when we ll b connected"
"244",0,"catholic church archdiocese of sydney look up under"
"245",2,"well it s really cool have thrown in their lot with the largest enabler of pedophiles worldwide the catholic church"
"246",0,"backs off from hooray telstra s job is not to be a tool of crazy homosexual politics"
"247",0,"s next move will be to"
"248",2,"telstra really not having a good time of late glad i m not with them"
"249",1,"opts out of s hooray—reasonable consumers amp investors will applaud"
"250",-1,"if wants to avoid a boycott back flipping on probably isn t how to do it"
"251",0,"look the catholic church strong arms weak orgs like about equality but can t fix its own pedophile problem https …"
"252",0,"cut amp pasted from the usual rule book have another read of the tweets"
"253",1,"cloudflare s analysis on bandwidth costs in australia doesn t paint a great picture of"
"254",1,"is right decent people might well boycott companies backing mad aims of like pervert"
"255",-1,"how can you help me my gay friends amp allies move our accounts from after its debacle today"
"256",1,"backtracks on good companies should avoid or be boycotted if they back"
"257",0,"this is why i m inclined to think that"
"258",-1,"hello hello catholic church powerbrokers of sydney … i think you may have a bad line wendy tuohy"
"259",1,"i will be contacting the archdiocese of sydney to explain my sudden interest in organising to remove their tax free statu…"
"260",1,"first bridges then badger businesses into withdrawing support for equality apparently"
"261",-1,"an absolute disgrace"
"262",1,"go back to being a telco and get that right"
"263",-1,"totally disappointed in for not standing up to the australia would have stood behind you"
"264",2,"thank a brand that supports just tag amp the brand not u thanks u u fe f https…"
"265",0,"and i have no plans on recontracting my service"
"266",0,"thanks for the incentive for me to find another provider"
"267",-1,"hey dig up stupid"
"268",0,"can t do graphics on my mobile but you get the gist l u d l"
"269",-1,"just trying to take the emphasis off their lousy service"
"270",1,"why investors should not support telstra amp s global expansion"
"271",1,"happy to be an optus customer for the first time in about years lol"
"272",-1,"ed u a u bd ed u b u braddon telstra building evacuated after gas smell detected"
"273",0,"manalto ltd signs distribution deal with telstra"
"274",1,"withdraws support for in australia"
"275",0,"in the southern us companies are pulling out because of anti equality leg in oz is pulling out of equality"
"276",-2,"so disappointed shame on u"
"277",1,"lol why does need opinions on things it s not like maccas is against same sex marriage telstra just didn t need to comment"
"278",1,"this was the platform to support fundamental rights"
"279",-1,"what a disgraceful company is this is and not the s"
"280",1,"free movies amp tv shows"
"281",1,"so has aligned itself with child sex abusers amp rapists charming ed u a u bd ed u b u e"
"282",0,"who within the corporation thought hey you know what s good for business discrimination …"
"283",-1,"left awful ages ago but i m jealous of those who get to withdraw support from them now"
"284",0,"telstra withdraws from…"
"285",1,"i m assuming the community will be getting free data on sunday"
"286",2,"sorry but i do not support companies who support bigoted views or support anti"
"287",0,"australia where a major telecommunications company is controlled by vatican decrees"
"288",1,"hey after years i just switched to if ur going to be silent about my equal rights you don t get…"
"289",-1,"telstra s epic fail
not the fear of god but the
fear of catholics

ian row"
"290",-1,"a very bad business decision and one that could see supporters of boycot your services https …"
"291",0,"who even uses telstra anymore"
"292",0,"o kosmos greek newspaper features my images from last weekend"
"293",0,"ed u a u bd ed u b u a manalto ltd signs distribution deal with telstra"
"294",0,"ed u a u bd ed u b u b telstra appoints ex amp boss craig dunn as director"
"295",1,"ed u a u bd ed u b u why investors should not support telstra amp s global expansion"
"296",2,"wow after years of loyal service you have finally given me a reason to look elsewhere for all my services"
"297",-1,"hey gang are u guys doing a story on and their withdrawal on marriage tonight been waiting all day haha"
"298",0,"next data free day customers should bulk download brokeback mountain in protest of their spineless telco"
"299",0,"is"
"300",1,"has withdrawn its support to after being blackmailed by and the catholic church"
"301",2,"thank a brand that supports just tag amp the brand not u thanks u u fe f"
"302",0,"telstra gives in to roman catholic church blackmail over but is better"
"303",-3,"dear if you want to avoid controversial issues consider cutting your commercial ties w an institution that covers up child rape ed u a u bd ed u b u"
"304",2,"i m having a to thank all brands that support bad luck none for you"
"305",2,"what if the alp wins the next election or lnp cancel the plebiscite you still going to abandon your support for equality"
"306",0,"not sure of the relationship between the church amp cath ed though if church doesn t own the schools though …"
"307",1,"not happy jan"
"308",-1,"shame on you for bowing to the catholic church"
"309",0,"not sure of the relationship between the church amp cath ed though if church doesn t own the schools though equality"
"310",0,"bends over for the church the same church that hides pedophiles"
"311",1,"new telstra bonds benefit from ecb buying programme"
"312",0,"wow disappoints multiple times with its service and now with its morals around"
"313",0,"it s about time the govt funded bigots in the catholic church stayed paying taxes if they want to state dictating public policy"
"314",0,"thinks support for gay marriage is ideology f k you the only ideology is coming from hateful christians htt…"
"315",1,"hey after years i just switched to if ur going to be silent about my equal rights you don t get my pink"
"316",0,"i know everyone s crapping on rn but this really does look like a threatened secondary boycott to me"
"317",1,"after s removal of gay marriage support amp could set up a webpage to help switch customers over to them"
"318",-1,"hell hath no fury like a customer not under contract"
"319",-2,"shame on you your marriage equality support is as unreliable as your shit services"
"320",0,"tech leaders in australia vs tech leaders in america on"
"321",0,"it s"
"322",2,"congratulations great decision"
"323",-1,"strange stance on for a tax payer funded and tax exempt corporation maybe we need to change that"
"324",-2,"cancel it on that basis will have no choice which telco did you port from problem is alternative coverage crappy"
"325",0,"so disappointed with your change in position super low move"
"326",1,"mmmm point to note catholicism isn t a religion it s a denomination of the christian faith"
"327",0,"take economic leverage somewhere that respects all telco consumers do not need to tolerate corporate hate"
"328",1,"absolutely i wish i had never moved to a few weeks ago now have contract but won t renew"
"329",1,"wondering if you have a remark about as they re a member org how can we support internal staff"
"330",0,"choose to abide by sharia law sponsored by catholic church if you can t beat em you join em they said"
"331",0,"social media users slam following accusations the telco withdrew support from"
"332",1,"great deals are going at the moment with ed u a u bd ed u b u d ed u a u bd ed u b u d ed u a u bd ed u b u d"
"333",-1,"ceo tells staff its stance will be disappointing to some people"
"334",0,"my god would have thrown out of the temple by now"
"335",0,"telstra biggest cop out eva"
"336",0,"nothing surprises me anymore with what the will do to get their point across"
"337",0,"abide by sharia law 
the new australia sponsored by the catholic church you can t beat em you join em"
"338",0,"no bull i recently upgraded from local isp adam internet to the adsl signal so bad i have to turn of mobile to surf net laptop"
"339",1,"why don t you tell the australian the catholic church that better still tell them to go procreate with themselves"
"340",1,"hey your backdown re nicely reminded me that i m out of contract hello can i switc…"
"341",-1,"nobody is refusing to recognise catholic marriage that i am aware so not sure your point"
"342",1,"hey your backdown re nicely reminded me that i m out of contract hello can i switch tomorrow"
"343",0,"poke poke are you listening"
"344",-1,"marriage equality is a human rights issue not another marketing gimmick to support intermittently don t be bullied …"
"345",1,"i will be contacting the archdiocese of sydney to explain my sudden interest in organising to remove their tax free status"
"346",-2,"i d actually say a complete brand and policy fail but internal comms definitely failed too"
"347",-1,"shame on i am disgusted to be contracted with you right now"
"348",0,"that would be nice my cancellation fee is on a bring your own sim plan"
"349",0,"why does this come up when attempting but i can this"
"350",1,"opponents to ssm claim there is a strategic political amp well funded campaign to change the marriage act pretending they…"
"351",0,"bad things happen when good people do nothing"
"352",-1,"might be time to adjust your webpage you gutless pricks"
"353",0,"true which is why should acknowledge all definitions of marriage and not one against all others that is"
"354",-2,"has gone crazy again browser showed me ur credit expired or sim not activated which was fixed after going to flight mode amp back"
"355",-1,"i see the church can t find any way other than threats amp blackmail to force companies to back down on supporting equal marriage"
"356",-1,"they are so bad at pr i would not be surprised if they did"
"357",0,"linked to earlier pressure from"
"358",0,"thinks support for gay marriage is ideology f k you the only ideology is coming from hateful christians"
"359",0,"i m not with but if i was i wouldn t be"
"360",0,"i ll be exercising my consumer choice and boycotting"
"361",-1,"its time us atheists got together amp demanded a boycott of any company that gives in to religious lobby groups"
"362",0,"telstra not supporting gay marriage is just pathetic bye bye ed u a u bd ed u b u ed u a u bc ed u bf u bc"
"363",1,"so were csr box ticking amp chasing the pink if they d supported pedos the cathchurch mightn t have objected"
"364",0,"isn t it funny how the account services page is always on the blink but the part where you give them money is always available"
"365",0,"you re a fuckwit of a ceo resign now ht…"
"366",1,"won t sell me a male to male wall socket"
"367",-1,"for a moderate decision is attacked by rabid gays and their loutish supporters typical"
"368",1,"doesn t want this gay money so i don t have to pay my bills right"
"369",0,"transcript of service earlier today 
 in the name of the father the son and amen"
"370",1,"since i m gay and telstra doesn t like gays can i get out of my contract early"
"371",1,"owes the australia lgbt community a with an honest apology and a walk back on its decision"
"372",0,"i m going to have a lot of gay phone calls and gay internet time until my contract runs out and i can change carrier"
"373",0,"in times of crisis brief your cm s amp teams properly"
"374",1,"you would think would be proud to fight for the rights of their workers and customers"
"375",-4,"what a shame giving in lgbt hate emanating from christian terrorists is shameful u lost me an lgbt customer"
"376",1,"imagine the salesforce account mentions in hyper drive today they ve turned on us let s give another free da…"
"377",0,"ed u a u bd ed u b u catholic church forces telstra into same sex marriage ad flip"
"378",0,"ed u a u bd ed u b u bf accc gets its wires crossed over telstra amp s involvement with the"
"379",1,"ed u a u bd ed u b u b why investors should not support telstra amp s global expansion"
"380",-1,"braddon telstra building evacuated after gas smell detected"
"381",1,"be like"
"382",0,"ohhhhhhhhhh yeeeeeeeeeeeeeeeeeees jim wallace finger fuck me til my pussy squirts in orgasmic pleasure"
"383",-1,"the archdiocese of sydney has released a statement on the controversy"
"384",-1,"in the abuse of their customers and the catholic church are kindred spirits"
"385",0,"would you rather be boycotted by a niche band of bigots or the significantly larger public who now see you as cowards you choose"
"386",-1,"marriage equality is a human rights issue not another marketing gimmick to support intermittently don t be bullied take a stand"
"387",1,"ohhhhhhhhhhhh yeeeeeeeeeeeeeeeeeeees jim wallace make my hot pussy moist with your tongue"
"388",1,"ohhhhhhhhhhhh yeeeeeeeeeeeeeeeeeeees jim wallace moisturise my face moisturise my face with your hot sperm"
"389",0,"it s a sad day to be gay apparently corporate greed is more important than equality and our happiness gutted thanks …"
"390",1,"ohhhhhhhhhhh yeeeeeeeeeeeeeeeeeeees jim wallace piss on my boobs let my tits feel the warmth of your urine"
"391",1,"has it been a great few weeks for blackouts and backouts"
"392",0,"so apparently the only thing that s ok to be out is telstra s mobile coverage"
"393",0,"how many catholics does it take to screw up a companies pr"
"394",2,"so supports less than it supports an organisation that hides by its clergy how is tha…"
"395",1,"can take their homophobic views and shove them up the catholic church s where the sun don t shine"
"396",0,"the institution that protects known paedophiles has no place in moralising or setting the public agenda"
"397",-1,"a case study in how not to manage a comms crisis at"
"398",0,"it s a sad day to be gay apparently corporate greed is more important than equality and our happiness gutted thanks u c ed u a u bc ed u bf u bc u fe f"
"399",1,"improve your service in this day amp age we can live without water not internet same day service turns into days in hrs"
"400",1,"you are officially famous richy"
"401",1,"interestingly if the catholic church was to leave telstra it’s not clear where they would go"
"402",0,"how many catholics does it take to save a corporation from bankruptcy"
"403",0,"the only thing coming out of s closet is it s service"
"404",0,"is soooo gay"
"405",0,"backlash over same sex marriage 
 has sparked a backlash on s"
"406",0,"ceo understands its move away from explicit support may be “disappointing” 
how is this not change"
"407",0,"ed u a u bd ed u b u ae accc gets its wires crossed over telstra amp s involvement with the"
"408",-2,"shame on you telstra shame on you this is grow up"
"409",1,"removed its support for same sex marriage allegedly due to church pressure"
"410",0,"where the only gay sex tolerated will be between the catholic church amp its victims"
"411",0,"you re a fuckwit of a ceo resign now"
"412",-1,"as if we needed another reason to be disappointed in"
"413",0,"tfw your pr game is weak as fuck like your backbone"
"414",0,"what is happening with the outage in carnegie how long before it s working"
"415",0,"things that are out dated telstra s stance on marriage the nbn and my fashion sense"
"416",1,"by withdrawing support you are automatically siding with anti marriage equality"
"417",0,"it s not the role of companies to drive public debate says have you told the miners and the banks"
"418",3,"hey do you support i m kinda happy i chose the better provider"
"419",1,"from same letterto others who support from same man church lashes same sex backers"
"420",-1,"has the catholic church sent the same threatening letter to banks to stop them lending to gays yet"
"421",0,"digs deeper into its hole in same sex ad flip"
"422",0,"i ve done a flip on paying my bill this month as i don t agree with their latest decision"
"423",2,"releases statement confirming no support for same sex marriage out of respect"
"424",1,"bringing up more advocates"
"425",-1,"yo 
you ve lost a life long customer due to your failure to stick up for what s right and what s needed"
"426",2,"no further plans to be active in the debate support is support especially if it was official before"
"427",0,"got a new slogan for it s how we screw you"
"428",-1,"thankfully i m not with so i don t have to leave them for allowing the catholic church to bully and control them"
"429",1,"so which telco supports 
i ll be going with that one 
 you gobshites"
"430",0,"so we can have same sex relationships but not marriage"
"431",1,"hey how much was the catholic account worth would be interesting to know how much a stance against prejudice costs"
"432",0,"thanks for another reason to cut ties with you"
"433",-1,"and marriage equality when the bandwagon loses a wheel"
"434",-1,"man is backwards as fuck"
"435",0,"flippy floppy"
"436",0,"straight people who use phone amp internet want too"
"437",0,"will offer cheaper rates to the catholic church amp paedophiles nationwide now cos they ve sure lost a load of customers today"
"438",1,"can imagine the bundle package the catholic church got dat free month of foxtel tho"
"439",0,"how long before they pressure the banks not to loan to gay people"
"440",-1,"australia’s billion contract raises competition concerns"
"441",0,"the f ck"
"442",0,"of course you know this means war"
"443",-2,"has abandoned its lgbti employees on the issue of goodbye you are gutless homophobes"
"444",1,"fortunately appalling service had already turned me off them their homophobia just affirms it was the right choice"
"445",-2,"dumb you ll regret your decision to p off the whole gay community hopefully a majority of your customers will g…"
